XBB,SPY
17.89,103.93
17.89,107.35
17.99,105.63
18.03,104.18
18.23,104.42
18.13,108.06
18.13,107.59
18.16,106.11
18.19,104.77
18.23,102.36
18.23,103.73
18.19,101.62
18.16,98.67
18.26,99.35
18.26,102.34
18.23,103.43
18.33,104.19
18.3,104.51
18.36,102.53
18.43,100.67
18.4,105.51
17.92,104.38
17.82,100.97
17.86,101.75
17.96,101.48
17.79,103.27
17.82,103.36
17.89,103.16
17.86,103.82
17.76,104.3
17.79,105.34
17.72,104.74
17.72,105.44
17.72,106.27
17.72,106.59
17.76,106.31
17.79,106.2
17.76,106.76
17.72,107.7
17.69,107.09
17.65,107.8
17.72,105.35
17.76,106.13
17.76,105.81
17.78,105.27
17.82,104.04
17.89,103.04
17.82,104.22
17.86,103.37
17.82,103.21
17.82,104.21
17.86,101.91
17.89,100.34
17.86,98.18
17.82,98.33
17.82,97.66
17.69,99.74
17.78,98.82
17.82,96.87
17.79,97.38
17.79,96.61
17.79,97.49
17.8,98.54
17.82,99.24
17.95,99.35
17.95,96.41
18.03,92.28
17.99,93.8
18.01,91.95
17.99,91.97
17.99,90.13
18.12,91.96
18.06,89.49
18.13,87.97
18.09,87.08
18.13,89.71
18.14,90.86
18.23,92.71
18.21,90.15
18.19,90.5
18.23,91.44
18.23,89.49
18.2,86.51
18.09,86.87
17.92,90.16
17.96,88.79
17.96,89.78
17.92,91.41
17.92,91.48
17.86,93.14
17.95,92.16
17.89,93.46
17.99,97.17
18.02,98.47
17.88,97.56
17.77,95.79
17.78,95.28
17.71,96.52
17.65,96.95
17.69,98.57
17.67,99.26
17.62,99.56
17.65,99.38
17.65,98.12
17.72,99.79
17.74,98.93
17.61,98.88
17.6,98.47
17.61,98.76
17.69,98.07
17.69,98.27
17.65,98.72
17.69,101.05
17.69,101.21
17.59,101.67
17.49,103.17
17.42,103.03
17.35,101.29
17.32,101.58
17.45,100.39
17.49,99.59
17.49,98.19
17.49,98.7
17.38,99.31
17.42,99.79
17.49,100.93
17.49,100.1
17.55,100.46
17.69,99.52
17.76,98.82
17.82,98.65
17.76,97.8
17.79,95.61
17.79,95.76
17.89,95.3
17.96,95.71
17.89,96.22
17.96,97.31
17.92,96.55
17.89,95.66
17.82,95.52
17.86,95.47
17.89,96
17.96,96.35
17.45,97.55
17.35,97.53
17.35,95.63
17.15,93.56
17.08,94.07
17.01,92.94
17.11,93.03
17.08,95.24
17.15,96.07
17.15,94.86
17.15,95.75
17.12,95.1
17.15,95.93
17.15,95.36
17.22,93.48
17.28,92.58
17.3,93.6
17.35,94.58
17.38,94.94
17.35,94.97
17.45,95.37
17.36,95.96
17.52,96.36
17.52,95.83
17.55,94.54
17.42,94.91
17.32,93.15
17.32,93.43
17.42,93.75
17.59,93.77
17.59,93.73
17.62,92.92
17.65,93.24
17.69,91.75
17.59,92.6
17.65,91.02
17.76,91.96
17.79,91.63
17.69,93.54
17.76,92.98
17.82,91.62
17.79,90.8
17.79,89.06
17.89,89.71
17.92,89.13
17.96,89.35
17.92,87.05
17.82,85.44
17.82,86.49
17.99,81.97
18.03,81.77
18.03,80.12
18.19,77.57
18.3,76.74
18.16,79.44
18.09,80.26
18.09,79.98
18.13,80.67
18.03,82.39
17.96,82.25
18.03,83.29
18.06,84.68
18.09,84.75
18.09,84.59
17.92,84.03
18.13,83.59
18.16,85.45
18.17,86.77
18.19,86.38
18.13,86.22
18.06,86.76
17.99,84.92
17.99,84.74
18.06,84.68
18.13,86.35
18.23,85.91
18.26,85.68
18.19,87.22
18.16,87.02
18.19,84.76
18.3,83.74
18.3,83.46
18.36,85.6
18.46,86.18
18.5,87.31
18.7,88.67
18.7,88.55
18.57,88.82
18.67,88.92
18.67,88.37
18.84,90.36
18.8,90.45
18.77,90.61
18.77,90.21
18.63,91.32
18.5,90.56
18.26,89.96
18.09,91.25
18.19,91.45
18.09,91.06
18.03,89.41
18.03,90.61
18.06,89.97
18.04,89.43
18.06,90.94
18.16,92.61
18.26,92.56
18.33,91.95
18.36,90.23
18.46,90.05
18.16,90.15
18.09,88.4
17.92,89.24
17.99,90.16
18.03,90.7
18.16,91.34
18.03,90.44
17.92,90.99
17.89,90.81
18.03,91.31
18.15,91.87
18.19,91.82
18.19,90.47
17.72,91.45
17.62,92.48
17.65,93.1
17.72,92.45
17.59,92.23
17.72,91.48
17.69,91.88
17.76,90.98
17.79,90.41
17.76,91.15
17.86,89.3
17.96,89.98
18.04,89.56
18.03,88.95
17.94,89.63
17.82,89.9
17.92,89.88
17.89,90.13
17.86,87.29
17.74,88.55
17.76,89.59
17.69,89.17
17.72,86.95
17.79,86.41
17.79,86.04
17.76,85.5
17.86,87.14
17.86,88.21
17.89,87.93
17.82,88.87
17.96,88.7
17.96,87.77
17.96,86.09
17.86,87.54
17.82,85.72
17.99,86.79
17.96,88.22
17.92,88.04
17.96,88.38
17.96,87.98
18.06,90.03
17.99,91.62
17.86,91.33
17.92,92.41
17.86,92.22
17.76,92.6
17.72,92.8
17.76,92.75
17.72,91.85
17.55,91.72
17.49,92.6
17.49,92.61
17.52,93.23
17.45,91.48
17.42,91.52
17.42,91.32
17.45,90.19
17.49,90.71
17.42,90.95
17.35,90.91
17.35,90.95
17.28,90.45
17.42,89.81
17.38,89.44
17.38,89.46
17.42,89.65
17.45,89.02
17.42,90.03
17.55,87.79
17.59,88.45
17.53,87.77
17.52,89.86
17.52,89.67
17.55,89.28
17.65,89.61
17.72,88.11
17.65,87.73
17.59,86.85
17.52,86.9
17.62,85.25
17.55,84.83
17.62,85.62
17.69,86.67
17.65,86.34
17.69,85.4
17.65,83.72
17.69,83.43
17.79,86.53
17.72,85.53
17.76,83.92
17.76,85.63
17.86,87.49
17.69,87.15
17.76,87.61
17.72,88.03
17.69,87.08
17.59,86.29
17.59,86.48
17.65,87.4
17.65,86.28
17.69,85.81
17.79,85.18
17.82,84.94
17.86,85.11
17.89,82.85
17.86,83.06
17.99,83.84
17.99,82.13
17.89,82.03
17.89,82.35
17.96,80.94
17.99,81.43
17.99,80.61
17.99,80.49
17.96,82.65
17.96,83.33
18.03,81.38
18.09,80.34
18.23,79.09
18.16,79.5
18.13,77.72
18.19,77.84
18.16,79.21
18.13,78.83
17.76,77.29
17.76,75.65
17.76,76.08
17.76,79.11
17.65,78.12
17.79,76.15
17.76,73.38
17.78,73.98
17.65,73.17
17.63,73.56
17.69,72.14
17.76,72.28
17.82,69.94
17.89,67.48
17.92,65.48
17.79,63.69
17.82,67.49
17.82,66.91
17.89,68.19
18.05,71.51
18.16,72.44
17.92,72.62
18.06,70.72
18.06,69.14
17.82,66.73
17.82,68.98
17.96,70.18
18.13,72.45
18.19,72.72
18.06,72.19
18.16,70.87
18.13,73.46
18.19,74.48
18.26,74.26
18.26,76
18.19,75.19
18.19,76.27
18.06,77.01
18.09,75.36
18.26,75.88
18.26,75.01
18.19,73.37
18.26,73.4
18.23,73.11
18.23,70.32
18.26,71.33
18.33,70.72
18.36,71.69
18.53,72.22
18.63,73.05
18.63,72.59
18.57,71.26
18.53,71.43
18.57,71.61
18.57,69.96
18.63,69.26
18.7,67.47
18.7,67.49
18.73,66.94
18.67,65.86
18.73,67.49
18.73,68.6
18.8,66.21
18.73,65.45
18.6,68.59
18.6,66.53
18.57,65.86
18.67,64.65
18.57,63.32
18.57,64.31
18.6,62.49
18.57,64.52
18.53,67.34
18.57,67.72
18.57,70.97
18.57,69.25
18.5,70.63
18.26,70.93
18.3,72.15
18.19,71.63
18.18,72.17
18.06,70.7
18.16,72.17
18.19,71.7
18.23,70.87
18.23,71.56
18.26,70.83
18.33,72.23
18.26,72.92
18.53,73.5
18.5,74.45
18.43,72.62
18.4,71.73
18.4,70.62
18.53,71.18
18.57,71.25
18.63,72.6
18.63,73.14
18.53,72.4
18.5,72.3
18.53,73.91
18.57,75.29
18.53,74.75
18.43,74.8
18.46,73.38
18.46,75.44
18.57,75.2
18.43,75.32
18.43,74.31
18.53,73.98
18.46,73.16
18.53,73.64
18.6,71.61
18.6,72.58
18.57,72.64
18.63,72.63
18.7,71.49
18.73,73.34
18.7,72.7
18.67,71.85
18.63,71.34
18.67,72.36
18.7,72.38
18.8,71.85
18.84,71.88
18.4,70.26
18.36,70.85
18.53,70.95
18.6,73.23
18.57,73.45
18.36,74.75
18.36,74.56
18.33,73.49
18.36,74.63
18.46,74.83
18.33,74.81
18.36,75.05
18.3,74.3
18.33,73.99
18.3,72.9
18.36,71.77
18.43,70.9
18.43,71.33
18.46,69.46
18.43,68.51
18.46,69.02
18.43,69.54
18.43,67.89
18.36,69.2
18.36,69.34
18.26,68.65
18.33,68.23
18.26,67.91
18.33,67.08
18.23,67.55
18.36,67.09
18.36,66.02
18.3,66.22
18.33,67.66
18.4,68.85
18.46,68.49
18.4,67.81
18.36,68.49
18.36,67.38
18.33,67.92
18.43,66.93
18.4,67.82
18.43,68.27
18.5,67.62
18.5,66.54
18.5,67.1
18.53,66.54
18.53,67
18.5,65.39
18.67,64.75
18.63,65.18
18.7,67.43
18.7,67.65
18.77,69.78
18.77,70.19
18.6,70.73
18.57,70.88
18.5,72.39
18.4,69.99
18.3,70.66
18.3,70.3
18.19,70.36
18.33,70
18.3,68.41
18.26,69.46
18.26,71.14
18.33,70.8
18.4,71.22
18.3,71.09
18.21,71.2
18.28,70.26
18.26,70.65
18.21,70.36
18.34,71.81
18.39,72.48
18.4,71.25
18.4,72.31
18.37,72.38
18.4,73.74
18.45,74.42
18.46,73.76
18.48,72.85
18.5,74.11
18.53,74.36
18.63,74.2
18.62,74.19
18.73,75.25
18.69,75.11
18.64,75.82
18.71,75.4
18.63,74.64
18.69,75.67
18.7,76.6
18.84,76.46
18.85,76.3
18.79,76.79
18.85,76.59
18.9,74.8
18.98,74.65
18.98,74.8
19.1,75.54
19.24,75.7
19.23,77.02
19.37,77.24
19.44,77.04
19.45,78.27
19.41,78.59
19.31,78.92
19.48,80.06
19.48,80.45
19.42,80.14
19.56,79.32
19.58,80.13
19.57,80.98
19.68,81.23
19.78,80.38
19.93,82.07
19.88,82.07
19.94,82
20.11,80.75
19.96,80.57
19.81,79.75
19.8,79.83
19.7,79.02
19.61,80.05
19.28,79.13
19.28,79.11
19.21,79.83
18.98,80.84
18.94,80
19.07,81.59
19.04,81.96
18.93,81.5
18.9,80.46
18.73,81.22
18.73,81.62
18.81,81.44
18.79,80.96
18.79,79.81
18.75,80.63
18.63,79.63
18.64,80.35
18.74,80.41
18.77,79.8
18.61,81.21
18.68,80.91
18.73,80.54
18.74,80.35
18.69,80.53
18.63,79.82
18.59,79.82
18.63,78.12
18.5,78.58
18.58,79.41
18.4,79.63
18.53,79.93
18.6,80.66
18.61,80.25
18.52,80.47
18.5,80.72
18.4,81.41
18.43,81.72
18.46,81.39
18.57,81.65
18.79,80.84
18.75,80.97
18.62,81.11
18.66,81.14
18.62,81.64
18.65,82.19
18.52,83.29
18.67,83.75
18.71,83.79
18.59,83.32
18.52,84.01
18.63,83.46
18.78,82.61
18.77,82.86
18.8,83.01
18.84,82.72
18.8,83.93
18.87,83.76
18.84,84.75
18.82,84.32
18.87,83.41
18.85,83.73
18.87,82.24
18.94,81.56
18.96,81.3
19.09,82.09
19.12,81.3
19.17,83.03
19.08,83.33
19.17,84.09
19.21,84.48
19.15,84.8
18.96,84.59
19.02,84.82
18.88,85.05
18.96,85.32
18.84,85.62
18.88,85.4
18.72,85.74
18.67,84.8
18.63,85.44
18.75,85.29
18.8,84.22
18.85,84.06
18.9,84.25
18.87,84.29
18.97,85.44
18.86,85.55
18.78,85.73
18.9,85.65
18.81,86.21
18.89,86.02
18.79,86.09
18.86,86.54
18.88,85.9
18.75,85.55
18.64,85.53
18.65,86.49
18.71,86.51
18.72,85.78
18.83,85.35
18.88,84.46
18.96,85.18
18.93,84.41
18.92,84.76
19,85.88
