Date,AAR-UN.TO,ABX.TO,ACQ.TO,AEM.TO,AGF-B.TO,AQN.TO,AR.TO,ARX.TO,ASR.TO,ATD-B.TO,ATH.TO,AUQ.TO,BAM-A.TO,BB.TO,BBD-B.TO,BCE.TO,BDI.TO,BMO.TO,BNS.TO,BTE.TO,BTO.TO,CCO.TO,CFW.TO,CG.TO,CGG.TO,CM.TO,CNL.TO,CNQ.TO,CNR.TO,COS.TO,CPG.TO,CS.TO,CVE.TO,DC-A.TO,DGC.TO,DHX-B.TO,DPM.TO,ECA.TO,EDV.TO,ELD.TO,ENB.TO,FM.TO,FRC.TO,FTS.TO,FVI.TO,G.TO,GBU.TO,GIB-A.TO,HSE.TO,IMG.TO,IPL.TO,K.TO,KMP.TO,LEG.TO,LIF.TO,LSG.TO,LTS.TO,LUN.TO,MFC.TO,MTL.TO,NA.TO,OGC.TO,PGF.TO,PLI.TO,POT.TO,POW.TO,PPL.TO,PRE.TO,PSG.TO,PWT.TO,PXX.TO,RCI-B.TO,RIO.TO,RMP.TO,RRX.TO,RY.TO,SJR-B.TO,SLF.TO,SLW.TO,SMF.TO,SPE.TO,SU.TO,T.TO,TA.TO,TCK-B.TO,TCM.TO,TD.TO,TGZ.TO,TKO.TO,TLM.TO,TMM.TO,TRI.TO,TRP.TO,TV.TO,TXG.TO,WCP.TO,YRI.TO
2012-08-02,4.14,30.56,13.0,41.89,8.75,6.03,8.37,20.54,5.59,15.34,12.07,6.21,31.53,7.0,3.29,37.01,19.19,51.06,45.99,33.84,3.22,19.29,10.36,6.22,2.63,64.59,7.1,25.38,41.72,16.53,33.04,2.23,27.77,13.54,22.81,1.12,7.61,19.86,2.29,10.35,36.93,18.61,8.59,29.76,3.58,33.69,1.8,23.46,22.38,10.24,18.64,7.43,11.37,6.19,27.09,1.04,9.59,4.25,9.5,19.37,32.91,2.08,4.89,0.15,38.86,20.38,22.98,19.57,9.64,10.65,3.14,35.45,4.38,1.75,2.21,46.17,17.12,18.93,26.34,2.97,0.68,28.68,28.08,12.69,24.42,2.58,35.29,1.69,2.49,12.09,1.78,25.07,41.02,0.78,1.87,6.0,13.88
2012-08-03,4.19,30.93,13.01,41.81,8.93,6.04,8.54,20.87,5.76,15.34,12.3,6.32,31.94,6.98,3.37,37.1,19.34,51.53,46.44,34.66,3.32,19.6,10.61,6.57,2.82,64.83,7.08,26.51,42.66,16.83,33.03,2.27,28.57,13.8,23.74,1.13,7.71,20.09,2.36,10.65,36.89,18.57,9.04,29.95,3.81,34.02,1.86,23.78,23.22,10.6,18.71,7.61,11.35,6.45,27.98,1.04,9.92,4.39,9.87,19.41,33.24,2.13,5.09,0.15,38.85,20.73,22.82,19.72,9.58,10.95,3.21,35.75,4.45,1.75,2.07,46.84,17.35,19.01,26.69,2.99,0.68,29.7,28.43,12.72,24.79,2.5,35.75,1.68,2.65,12.39,1.81,25.53,41.23,0.8,1.85,6.09,14.01
2012-08-07,4.26,31.99,12.88,43.2,9.01,5.95,8.63,20.91,5.91,15.61,12.71,6.7,32.25,7.32,3.5,37.62,19.28,51.72,47.11,36.35,3.34,19.85,11.09,6.64,3.03,65.34,7.3,28.46,42.72,17.27,33.95,2.33,29.84,13.81,25.4,1.11,7.81,20.93,2.4,11.24,37.02,19.57,9.46,30.4,3.95,34.95,2.05,23.85,23.74,11.19,18.71,7.7,11.35,6.59,28.8,1.06,10.16,4.47,10.13,19.69,33.57,2.19,5.34,0.15,38.87,21.33,22.87,19.76,9.81,11.41,3.29,36.07,4.49,1.85,2.21,47.06,17.57,19.68,27.64,3.1,0.8,30.26,29.03,12.94,26.17,2.67,35.95,1.7,2.74,12.56,1.97,25.93,41.53,0.87,1.87,6.32,14.22
2012-08-08,4.14,31.63,12.99,42.89,9.03,5.94,8.33,20.79,5.81,15.71,12.7,6.35,32.43,7.56,3.53,38.53,19.29,51.19,46.54,36.14,3.35,19.5,10.97,6.54,2.88,65.0,7.29,28.05,42.55,17.24,33.56,2.38,29.28,13.89,24.9,1.11,7.89,20.75,1.99,10.89,36.33,19.29,9.41,30.37,3.9,34.55,2.03,23.99,23.79,10.75,18.67,7.63,11.36,6.57,27.53,1.07,10.16,4.57,9.93,19.49,33.4,2.22,5.31,0.15,38.31,21.01,22.92,19.48,9.89,11.18,3.29,35.52,4.41,1.8,2.21,46.61,17.48,19.51,28.67,3.29,0.72,29.79,28.81,12.99,25.9,2.8,35.77,1.76,2.75,12.3,2.01,26.01,40.58,0.9,1.84,6.27,14.09
2012-08-09,4.07,31.87,13.01,42.95,8.98,5.95,8.41,20.9,5.91,16.02,12.89,6.41,31.97,7.72,3.45,38.96,18.96,51.36,46.51,37.25,3.43,19.54,11.28,7.02,3.0,65.19,7.55,29.78,42.76,17.42,35.15,2.32,29.6,14.03,24.81,1.12,7.97,20.91,1.99,11.07,36.32,19.4,9.47,30.45,4.12,34.85,2.34,23.89,23.94,10.74,18.71,7.83,11.41,7.04,27.32,1.15,10.25,4.6,9.98,20.0,33.26,2.24,5.39,0.16,38.7,21.15,22.96,20.52,9.89,11.61,3.4,35.79,4.35,1.87,2.28,46.48,17.47,19.36,29.21,3.39,0.72,29.92,29.25,13.1,26.68,2.71,35.76,1.76,2.72,12.3,2.15,25.9,40.39,0.9,1.89,6.45,14.35
2012-08-10,4.14,32.31,12.62,43.06,9.03,6.0,8.28,20.74,5.87,16.18,12.84,6.42,32.16,8.22,3.37,39.17,18.94,51.35,46.55,36.67,3.46,19.6,11.16,7.0,2.89,65.65,7.56,29.36,43.02,17.57,34.07,2.27,29.55,13.91,25.2,1.1,7.92,20.93,2.0,11.2,36.76,19.6,9.61,30.52,4.05,35.02,2.38,23.93,24.06,10.91,18.72,8.03,11.4,6.76,27.42,1.13,9.97,4.59,10.05,20.12,33.24,2.25,5.34,0.16,39.09,21.34,22.65,21.49,9.71,11.84,3.29,36.17,4.43,1.82,2.31,46.43,17.46,19.67,29.3,3.67,0.68,29.84,29.27,13.23,27.46,2.57,35.9,1.72,2.68,12.36,2.16,26.04,40.34,0.87,1.88,6.33,14.41
2012-08-13,4.2,31.99,12.56,42.63,9.02,5.99,8.26,20.65,5.52,16.24,12.78,5.95,32.23,8.02,3.37,39.19,18.01,51.35,46.43,37.3,3.42,19.22,11.08,6.6,2.93,65.69,7.45,28.6,43.1,17.68,34.12,2.31,29.43,13.66,24.93,1.09,7.91,20.36,1.93,11.02,36.66,19.62,9.59,30.59,4.06,34.63,2.45,23.93,24.06,10.72,18.7,7.86,11.33,6.83,27.78,1.1,9.95,4.55,10.3,20.07,33.19,2.17,5.34,0.15,38.69,21.35,22.57,21.96,9.59,11.29,3.3,36.26,4.38,1.77,2.29,46.2,17.49,19.92,29.4,3.62,0.68,29.64,29.14,13.31,26.78,2.43,35.79,1.73,2.6,12.22,2.12,26.09,40.47,0.85,1.87,6.27,14.18
2012-08-14,4.25,31.91,12.45,42.14,9.01,5.96,8.09,20.5,5.28,16.14,12.78,5.88,32.27,7.48,3.4,39.13,18.84,51.33,46.57,37.78,3.42,19.32,11.17,6.26,2.76,65.97,7.26,29.08,43.21,17.85,34.04,2.27,29.41,13.51,24.55,1.08,7.58,20.72,1.95,10.95,36.68,18.61,9.58,30.53,3.96,34.39,2.21,24.04,24.03,10.86,18.89,7.81,11.31,6.82,27.6,1.08,10.12,4.46,10.42,20.35,33.15,2.17,5.48,0.15,38.85,21.35,23.43,21.74,9.57,11.38,3.37,36.27,4.42,1.76,2.16,47.18,17.54,20.19,29.11,3.45,0.68,29.64,29.08,13.36,25.91,2.35,35.87,1.7,2.63,12.22,2.11,26.32,40.81,0.87,1.76,6.46,14.15
2012-08-15,4.24,32.27,12.51,41.59,9.14,5.88,7.79,20.6,4.84,16.45,13.15,5.88,32.33,7.43,3.41,38.96,19.17,51.52,46.87,38.51,3.53,19.82,11.08,6.16,2.88,66.32,7.35,29.23,43.39,17.9,34.16,2.27,29.68,13.51,24.17,1.05,7.6,20.48,1.94,11.07,36.79,18.69,9.83,30.55,4.07,34.21,2.39,23.94,24.1,10.74,19.06,7.9,11.44,6.84,27.2,1.09,10.27,4.45,10.37,20.4,33.15,2.15,5.46,0.15,39.2,21.3,23.54,21.82,9.9,11.15,3.36,36.31,4.44,1.77,2.07,47.85,17.57,20.36,29.31,3.43,0.64,29.81,29.2,13.28,25.95,2.26,36.1,1.7,2.54,12.37,2.08,26.59,40.54,0.85,1.81,6.56,14.13
2012-08-16,4.27,33.54,12.52,43.32,9.12,5.95,7.94,20.82,4.82,16.07,13.1,6.09,32.52,7.44,3.41,38.83,19.19,51.92,47.23,39.17,3.7,21.03,11.03,6.39,3.12,66.67,7.6,29.93,43.21,18.14,34.24,2.46,29.92,13.81,25.0,1.05,7.97,20.74,1.93,11.58,36.74,19.24,10.01,30.58,4.23,35.8,2.43,24.06,24.24,11.18,19.08,8.1,11.47,6.96,27.52,1.11,10.44,4.55,10.59,20.56,33.15,2.26,5.61,0.14,39.84,21.33,23.53,22.69,9.8,11.31,3.37,35.85,4.45,1.8,2.15,48.52,17.63,20.39,30.12,3.62,0.64,30.1,28.57,13.33,26.61,2.38,36.42,1.69,2.66,12.54,2.13,26.67,40.81,0.84,1.88,6.62,14.52
