BIL,BWX,^FTSE,^GSPC,^HSI
45.84,52.05,6724.5,1554.41,29133.02
45.85,51.88,6730.7,1561.8,28838.37
45.83,51.75,6644.5,1548.71,29540.78
45.86,51.77,6614.3,1538.53,28954.55
45.88,51.95,6677.7,1541.24,29298.71
45.88,52.35,6609.4,1540.08,29465.05
45.92,52.54,6527.9,1500.63,29465.05
45.9,52.33,6459.3,1506.33,28373.63
45.9,52.55,6514,1519.59,29376.86
45.92,52.75,6482,1515.88,29333.53
45.91,52.89,6576.3,1514.4,29854.49
45.89,53.06,6661.3,1535.28,30405.22
45.93,53.18,6706,1540.98,31586.9
45.91,53.1,6659,1531.02,31638.22
45.92,53.15,6721.6,1549.38,31352.58
45.8,53.05,6586.1,1508.44,31492.88
45.83,53.46,6530.6,1509.65,30468.34
45.83,53.33,6461.4,1502.17,28942.32
45.83,53.51,6474.9,1520.27,29438.13
45.86,54,6385.1,1475.62,29708.93
45.83,54.22,6381.9,1474.77,28760.22
45.87,54.4,6304.9,1453.7,28783.41
45.89,54.45,6337.9,1439.18,27665.73
45.88,54.03,6362.4,1481.05,27803.35
45.86,54.2,6432.1,1470.58,29166.01
45.89,54.15,6359.6,1451.15,28751.21
45.89,54.16,6291.2,1458.74,27614.43
45.91,54.38,6120.8,1433.27,27460.17
45.92,54.6,6226.5,1439.7,27771.21
45.94,54.89,6070.9,1416.77,26618.19
45.95,54.83,6262.1,1440.7,26541.09
45.92,55.12,6180.5,1407.22,27626.62
45.96,54.8,6140.7,1428.23,27210.21
45.97,54.36,6306.2,1469.02,27371.24
45.94,54.42,6349.1,1469.72,28482.54
45.95,54.01,6432.5,1481.14,28643.61
45.8,54.17,6386.6,1472.42,28658.42
45.81,54.42,6315.2,1462.79,28879.59
45.81,53.87,6493.8,1485.01,29345.45
45.82,53.78,6485.6,1507.34,29558.92
45.86,53.59,6554.9,1504.66,28842.47
45.83,53.62,6565.4,1515.96,28501.1
45.89,53.94,6536.9,1477.65,29226.84
45.88,53.62,6559.8,1486.59,28521.06
45.9,53.32,6364.2,1488.41,27744.45
45.87,52.6,6397,1467.95,27563.64
45.89,52.52,6277.8,1445.9,26596.58
45.89,52.6,6279.3,1454.98,26732.87
45.91,52.71,6284.5,1453,27029.26
45.93,52.62,6345.6,1460.12,27017.09
45.93,52.55,6434.1,1484.46,27626.92
45.93,52.65,6479.3,1496.45,28128.8
45.93,53.12,6497.8,1476.27,27842.93
45.8,53.42,6476.9,1478.49,27370.6
45.79,53.8,6456.9,1468.36,27812.65
45.83,54.13,6416.7,1447.16,27560.52
45.8,54.29,6479.4,1447.16,26887.28
45.79,54.42,6348.5,1411.63,27519.69
45.83,54.3,6335.7,1416.18,27179.49
45.8,54.24,6356.5,1390.19,27112.9
45.77,54.04,6272.7,1409.13,27615.85
45.79,54.5,6222.7,1420.33,27230.86
45.81,54.48,6202,1401.02,26867.01
45.85,54.94,6215.7,1416.25,26468.13
45.84,54.91,6025.6,1380.95,25837.78
45.84,54.68,5942.9,1373.2,24450.85
45.82,54.68,5902.4,1333.25,25114.98
45.85,54.72,5901.7,1325.19,25201.87
45.87,54.37,5740.1,1310.5,21757.63
45.92,54.61,5609.4,1338.6,24090.17
45.94,54.72,5875.8,1352.07,23539.27
45.89,54.68,5869,1330.61,25122.37
45.91,54.79,5788.9,1353.96,24053.61
45.95,54.77,5885.2,1362.3,24291.8
45.97,55.07,5837.3,1355.81,23653.69
45.97,54.93,5879.8,1378.55,23455.74
45.85,55.07,6029.2,1395.42,24123.58
45.86,54.99,6026.2,1380.82,25032.08
45.83,54.6,5868,1336.64,24808.7
45.87,54.62,5875.4,1326.45,23469.46
45.87,54.66,5707.7,1339.13,22616.11
45.86,54.5,5910,1348.86,22921.67
45.87,54.39,5880.1,1367.21,23169.55
45.88,54.39,5879.3,1348.86,24021.68
45.88,54.62,5787.6,1349.99,24148.43
45.88,54.4,5966.9,1348.78,24123.17
45.86,54.38,5893.6,1360.03,23590.58
45.9,54.69,5932.2,1342.53,23623
45.9,54.97,5888.5,1353.11,23305.04
45.88,54.64,5999.5,1371.8,23269.14
45.91,55.06,6087.4,1381.29,23714.75
45.92,55.54,6076.5,1380.02,24483.84
45.92,56.06,5965.7,1367.68,24591.69
45.93,56.49,5884.3,1330.63,24331.67
45.86,56.47,5818.6,1331.34,23584.97
45.86,56.39,5767.7,1326.75,23119.87
45.85,56.49,5853.5,1333.7,23114.34
45.87,56.84,5766.4,1304.34,23342.73
45.87,56.79,5699.9,1293.37,22501.33
45.87,56.89,5629.1,1273.37,22705.05
45.87,56.62,5690.4,1320.65,22995.35
45.88,57.56,5776.4,1308.77,23422.76
45.87,57.72,5692.4,1315.48,22301.64
45.93,58.79,5631.7,1288.14,22237.11
45.92,58.34,5414.4,1276.6,21084.61
45.97,58.24,5605.8,1330.74,21384.61
45.98,57.8,5545.6,1298.42,21866.94
45.97,57.35,5495.2,1329.51,21108.22
45.93,56.45,5495.2,1349.88,21108.22
45.9,57.63,5689.1,1352.99,22464.52
45.93,58.01,5660.4,1341.13,22617.01
45.94,57.93,5717.5,1325.76,22664.22
45.9,57.99,5692.9,1315.22,23285.95
45.95,57.96,5702.1,1322.7,22849.2
45.85,57.23,5852.6,1370.18,23137.46
45.85,57.29,5915.9,1367.53,23872.43
45.85,57.31,5891.3,1369.31,24264.63
45.87,57.58,5947.1,1370.4,24264.63
45.85,57.39,6014.8,1372.54,24578.76
45.88,57.35,5990.2,1365.54,24311.69
45.88,57.5,5983.9,1354.49,23984.57
45.88,57.5,5965.1,1360.55,24187.1
45.88,57.89,5895.5,1332.83,24667.79
45.9,57.9,5831.6,1328.32,23811.2
45.9,57.5,5906.9,1334.43,23901.33
45.87,57.81,6046.2,1364.71,23878.35
45.87,57.25,5980.4,1365.56,24258.96
45.84,56.82,6056.6,1390.33,24197.78
45.86,57.11,6053,1388.17,24721.67
45.87,57.47,6034.7,1375.94,24939.15
45.87,57.4,6083.6,1379.93,25289.24
45.88,56.62,6050.7,1388.82,25680.78
45.88,55.66,6091.4,1397.84,25516.78
45.85,56.13,6090.4,1396.37,25666.29
45.9,56.11,6089.4,1390.94,25914.15
45.85,56.48,6087.3,1385.59,25755.35
45.83,55.7,6087.3,1409.34,25755.35
45.8,55.64,6215.5,1413.9,26241.02
45.81,55.95,6215.5,1407.49,26183.95
45.79,56.04,6215.3,1418.26,26262.13
45.82,55.86,6261,1392.57,25610.21
45.8,56.03,6270.8,1397.68,25449.79
45.82,56.46,6204.7,1388.28,25063.17
45.82,56.4,6220.7,1403.58,25063.17
45.8,56.01,6211.9,1403.04,25552.77
45.8,55.78,6216,1408.66,25533.48
45.8,55.5,6251.8,1423.57,25513.71
45.81,55.9,6304.3,1425.35,25618.86
45.81,55.91,6376.5,1426.63,25742.23
45.79,56.44,6191.6,1413.4,25169.46
45.79,56.61,6198.1,1390.71,25460.29
45.82,56.25,6181.6,1394.35,25043.12
45.82,56.53,6087.3,1375.93,24714.07
45.82,56.14,6058.5,1385.35,24282.04
45.84,55.89,6069.6,1390.84,24249.51
45.82,55.31,6068.1,1398.26,24383.99
45.84,55.48,6053.5,1400.38,24533.12
45.83,55.54,6007.6,1385.67,24831.36
45.83,55.3,6057.7,1377.65,24375.76
45.82,55.18,5970.1,1377.2,24123.25
45.79,55.24,5995.3,1404.05,24255.29
45.8,55.7,5906.8,1360.68,24402.18
45.85,54.24,5827.3,1358.44,23375.52
45.88,54.39,5723.3,1335.49,23327.6
45.85,53.27,5790.5,1339.87,23023.86
45.88,53.63,5802.8,1360.03,22592.3
45.88,53.74,5794.6,1360.14,23029.69
45.87,54.01,5861.9,1350.93,23057.99
45.89,54.22,5756.9,1337.81,23325.8
45.88,54.08,5708.4,1342.83,22797.61
45.9,54.76,5620.8,1317.93,22745.6
45.9,54.37,5667.2,1318,22714.96
45.9,54.75,5634.7,1314.29,22456.02
