Date,BIL,BWX,^FTSE,^GSPC,^HSI
2007-10-11,45.84,52.05,6724.5,1554.41,29133.02
2007-10-12,45.85,51.88,6730.7,1561.8,28838.37
2007-10-15,45.83,51.75,6644.5,1548.71,29540.78
2007-10-16,45.86,51.77,6614.3,1538.53,28954.55
2007-10-17,45.88,51.95,6677.7,1541.24,29298.71
2007-10-18,45.88,52.35,6609.4,1540.08,29465.05
2007-10-19,45.92,52.54,6527.9,1500.63,29465.05
2007-10-22,45.9,52.33,6459.3,1506.33,28373.63
2007-10-23,45.9,52.55,6514.0,1519.59,29376.86
2007-10-24,45.92,52.75,6482.0,1515.88,29333.53
2007-10-25,45.91,52.89,6576.3,1514.4,29854.49
2007-10-26,45.89,53.06,6661.3,1535.28,30405.22
2007-10-29,45.93,53.18,6706.0,1540.98,31586.9
2007-10-30,45.91,53.1,6659.0,1531.02,31638.22
2007-10-31,45.92,53.15,6721.6,1549.38,31352.58
2007-11-01,45.8,53.05,6586.1,1508.44,31492.88
2007-11-02,45.83,53.46,6530.6,1509.65,30468.34
2007-11-05,45.83,53.33,6461.4,1502.17,28942.32
2007-11-06,45.83,53.51,6474.9,1520.27,29438.13
2007-11-07,45.86,54.0,6385.1,1475.62,29708.93
2007-11-08,45.83,54.22,6381.9,1474.77,28760.22
2007-11-09,45.87,54.4,6304.9,1453.7,28783.41
2007-11-12,45.89,54.45,6337.9,1439.18,27665.73
2007-11-13,45.88,54.03,6362.4,1481.05,27803.35
2007-11-14,45.86,54.2,6432.1,1470.58,29166.01
2007-11-15,45.89,54.15,6359.6,1451.15,28751.21
2007-11-16,45.89,54.16,6291.2,1458.74,27614.43
2007-11-19,45.91,54.38,6120.8,1433.27,27460.17
2007-11-20,45.92,54.6,6226.5,1439.7,27771.21
2007-11-21,45.94,54.89,6070.9,1416.77,26618.19
2007-11-23,45.95,54.83,6262.1,1440.7,26541.09
2007-11-26,45.92,55.12,6180.5,1407.22,27626.62
2007-11-27,45.96,54.8,6140.7,1428.23,27210.21
2007-11-28,45.97,54.36,6306.2,1469.02,27371.24
2007-11-29,45.94,54.42,6349.1,1469.72,28482.54
2007-11-30,45.95,54.01,6432.5,1481.14,28643.61
2007-12-03,45.8,54.17,6386.6,1472.42,28658.42
2007-12-04,45.81,54.42,6315.2,1462.79,28879.59
2007-12-05,45.81,53.87,6493.8,1485.01,29345.45
2007-12-06,45.82,53.78,6485.6,1507.34,29558.92
2007-12-07,45.86,53.59,6554.9,1504.66,28842.47
2007-12-10,45.83,53.62,6565.4,1515.96,28501.1
2007-12-11,45.89,53.94,6536.9,1477.65,29226.84
2007-12-12,45.88,53.62,6559.8,1486.59,28521.06
2007-12-13,45.9,53.32,6364.2,1488.41,27744.45
2007-12-14,45.87,52.6,6397.0,1467.95,27563.64
2007-12-17,45.89,52.52,6277.8,1445.9,26596.58
2007-12-18,45.89,52.6,6279.3,1454.98,26732.87
2007-12-19,45.91,52.71,6284.5,1453.0,27029.26
2007-12-20,45.93,52.62,6345.6,1460.12,27017.09
2007-12-21,45.93,52.55,6434.1,1484.46,27626.92
2007-12-24,45.93,52.65,6479.3,1496.45,28128.8
2007-12-27,45.93,53.12,6497.8,1476.27,27842.93
2007-12-28,45.8,53.42,6476.9,1478.49,27370.6
2007-12-31,45.79,53.8,6456.9,1468.36,27812.65
2008-01-02,45.83,54.13,6416.7,1447.16,27560.52
2008-01-03,45.8,54.29,6479.4,1447.16,26887.28
2008-01-04,45.79,54.42,6348.5,1411.63,27519.69
2008-01-07,45.83,54.3,6335.7,1416.18,27179.49
2008-01-08,45.8,54.24,6356.5,1390.19,27112.9
2008-01-09,45.77,54.04,6272.7,1409.13,27615.85
2008-01-10,45.79,54.5,6222.7,1420.33,27230.86
2008-01-11,45.81,54.48,6202.0,1401.02,26867.01
2008-01-14,45.85,54.94,6215.7,1416.25,26468.13
2008-01-15,45.84,54.91,6025.6,1380.95,25837.78
2008-01-16,45.84,54.68,5942.9,1373.2,24450.85
2008-01-17,45.82,54.68,5902.4,1333.25,25114.98
2008-01-18,45.85,54.72,5901.7,1325.19,25201.87
2008-01-22,45.87,54.37,5740.1,1310.5,21757.63
2008-01-23,45.92,54.61,5609.4,1338.6,24090.17
2008-01-24,45.94,54.72,5875.8,1352.07,23539.27
2008-01-25,45.89,54.68,5869.0,1330.61,25122.37
2008-01-28,45.91,54.79,5788.9,1353.96,24053.61
2008-01-29,45.95,54.77,5885.2,1362.3,24291.8
2008-01-30,45.97,55.07,5837.3,1355.81,23653.69
2008-01-31,45.97,54.93,5879.8,1378.55,23455.74
2008-02-01,45.85,55.07,6029.2,1395.42,24123.58
2008-02-04,45.86,54.99,6026.2,1380.82,25032.08
2008-02-05,45.83,54.6,5868.0,1336.64,24808.7
2008-02-06,45.87,54.62,5875.4,1326.45,23469.46
2008-02-11,45.87,54.66,5707.7,1339.13,22616.11
2008-02-12,45.86,54.5,5910.0,1348.86,22921.67
2008-02-13,45.87,54.39,5880.1,1367.21,23169.55
2008-02-14,45.88,54.39,5879.3,1348.86,24021.68
2008-02-15,45.88,54.62,5787.6,1349.99,24148.43
2008-02-19,45.88,54.4,5966.9,1348.78,24123.17
2008-02-20,45.86,54.38,5893.6,1360.03,23590.58
2008-02-21,45.9,54.69,5932.2,1342.53,23623.0
2008-02-22,45.9,54.97,5888.5,1353.11,23305.04
2008-02-25,45.88,54.64,5999.5,1371.8,23269.14
2008-02-26,45.91,55.06,6087.4,1381.29,23714.75
2008-02-27,45.92,55.54,6076.5,1380.02,24483.84
2008-02-28,45.92,56.06,5965.7,1367.68,24591.69
2008-02-29,45.93,56.49,5884.3,1330.63,24331.67
2008-03-03,45.86,56.47,5818.6,1331.34,23584.97
2008-03-04,45.86,56.39,5767.7,1326.75,23119.87
2008-03-05,45.85,56.49,5853.5,1333.7,23114.34
2008-03-06,45.87,56.84,5766.4,1304.34,23342.73
2008-03-07,45.87,56.79,5699.9,1293.37,22501.33
2008-03-10,45.87,56.89,5629.1,1273.37,22705.05
2008-03-11,45.87,56.62,5690.4,1320.65,22995.35
2008-03-12,45.88,57.56,5776.4,1308.77,23422.76
2008-03-13,45.87,57.72,5692.4,1315.48,22301.64
2008-03-14,45.93,58.79,5631.7,1288.14,22237.11
2008-03-17,45.92,58.34,5414.4,1276.6,21084.61
2008-03-18,45.97,58.24,5605.8,1330.74,21384.61
2008-03-19,45.98,57.8,5545.6,1298.42,21866.94
2008-03-20,45.97,57.35,5495.2,1329.51,21108.22
2008-03-24,45.93,56.45,5495.2,1349.88,21108.22
2008-03-25,45.9,57.63,5689.1,1352.99,22464.52
2008-03-26,45.93,58.01,5660.4,1341.13,22617.01
2008-03-27,45.94,57.93,5717.5,1325.76,22664.22
2008-03-28,45.9,57.99,5692.9,1315.22,23285.95
2008-03-31,45.95,57.96,5702.1,1322.7,22849.2
2008-04-01,45.85,57.23,5852.6,1370.18,23137.46
2008-04-02,45.85,57.29,5915.9,1367.53,23872.43
2008-04-03,45.85,57.31,5891.3,1369.31,24264.63
2008-04-04,45.87,57.58,5947.1,1370.4,24264.63
2008-04-07,45.85,57.39,6014.8,1372.54,24578.76
2008-04-08,45.88,57.35,5990.2,1365.54,24311.69
2008-04-09,45.88,57.5,5983.9,1354.49,23984.57
2008-04-10,45.88,57.5,5965.1,1360.55,24187.1
2008-04-11,45.88,57.89,5895.5,1332.83,24667.79
2008-04-14,45.9,57.9,5831.6,1328.32,23811.2
2008-04-15,45.9,57.5,5906.9,1334.43,23901.33
2008-04-16,45.87,57.81,6046.2,1364.71,23878.35
2008-04-17,45.87,57.25,5980.4,1365.56,24258.96
2008-04-18,45.84,56.82,6056.6,1390.33,24197.78
2008-04-21,45.86,57.11,6053.0,1388.17,24721.67
2008-04-22,45.87,57.47,6034.7,1375.94,24939.15
2008-04-23,45.87,57.4,6083.6,1379.93,25289.24
2008-04-24,45.88,56.62,6050.7,1388.82,25680.78
2008-04-25,45.88,55.66,6091.4,1397.84,25516.78
2008-04-28,45.85,56.13,6090.4,1396.37,25666.29
2008-04-29,45.9,56.11,6089.4,1390.94,25914.15
2008-04-30,45.85,56.48,6087.3,1385.59,25755.35
2008-05-01,45.83,55.7,6087.3,1409.34,25755.35
2008-05-02,45.8,55.64,6215.5,1413.9,26241.02
2008-05-05,45.81,55.95,6215.5,1407.49,26183.95
2008-05-06,45.79,56.04,6215.3,1418.26,26262.13
2008-05-07,45.82,55.86,6261.0,1392.57,25610.21
2008-05-08,45.8,56.03,6270.8,1397.68,25449.79
2008-05-09,45.82,56.46,6204.7,1388.28,25063.17
2008-05-12,45.82,56.4,6220.7,1403.58,25063.17
2008-05-13,45.8,56.01,6211.9,1403.04,25552.77
2008-05-14,45.8,55.78,6216.0,1408.66,25533.48
2008-05-15,45.8,55.5,6251.8,1423.57,25513.71
2008-05-16,45.81,55.9,6304.3,1425.35,25618.86
2008-05-19,45.81,55.91,6376.5,1426.63,25742.23
2008-05-20,45.79,56.44,6191.6,1413.4,25169.46
2008-05-21,45.79,56.61,6198.1,1390.71,25460.29
2008-05-22,45.82,56.25,6181.6,1394.35,25043.12
2008-05-23,45.82,56.53,6087.3,1375.93,24714.07
2008-05-27,45.82,56.14,6058.5,1385.35,24282.04
2008-05-28,45.84,55.89,6069.6,1390.84,24249.51
2008-05-29,45.82,55.31,6068.1,1398.26,24383.99
2008-05-30,45.84,55.48,6053.5,1400.38,24533.12
2008-06-02,45.83,55.54,6007.6,1385.67,24831.36
2008-06-03,45.83,55.3,6057.7,1377.65,24375.76
2008-06-04,45.82,55.18,5970.1,1377.2,24123.25
2008-06-05,45.79,55.24,5995.3,1404.05,24255.29
2008-06-06,45.8,55.7,5906.8,1360.68,24402.18
2008-06-10,45.85,54.24,5827.3,1358.44,23375.52
2008-06-11,45.88,54.39,5723.3,1335.49,23327.6
2008-06-12,45.85,53.27,5790.5,1339.87,23023.86
2008-06-13,45.88,53.63,5802.8,1360.03,22592.3
2008-06-16,45.88,53.74,5794.6,1360.14,23029.69
2008-06-17,45.87,54.01,5861.9,1350.93,23057.99
2008-06-18,45.89,54.22,5756.9,1337.81,23325.8
2008-06-19,45.88,54.08,5708.4,1342.83,22797.61
2008-06-20,45.9,54.76,5620.8,1317.93,22745.6
2008-06-23,45.9,54.37,5667.2,1318.0,22714.96
2008-06-24,45.9,54.75,5634.7,1314.29,22456.02
2008-06-25,45.91,54.9,5666.1,1321.97,22635.16
2008-06-26,45.91,55.49,5518.2,1283.15,22455.67
2008-06-27,45.93,55.56,5530.0,1278.38,22042.35
2008-06-30,45.9,55.1,5625.9,1280.0,22102.01
2008-07-02,45.86,55.52,5426.3,1261.52,21704.45
2008-07-03,45.86,55.31,5476.6,1262.9,21242.78
2008-07-07,45.85,55.45,5512.7,1252.31,21913.06
2008-07-08,45.83,55.11,5440.5,1273.7,21220.81
2008-07-09,45.84,55.73,5529.6,1244.69,21805.81
2008-07-10,45.88,55.68,5406.8,1253.39,21821.78
